Object ID,Object Name,Title,Culture,Medium,Link Resource,Link Image
39125,figurine,,Sri Lanka,Bronze,http://www.metmuseum.org/art/collection/search/39125,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39125/main-image
39130,figurine,,India (Bengal) or Bangladesh,Bronze with silver and copper inlay,http://www.metmuseum.org/art/collection/search/39130,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39130/main-image
39135,figure,,Nepal (Kathmandu Valley),Bronze,http://www.metmuseum.org/art/collection/search/39135,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39135/main-image
39139,figure,,Tibet,Bronze,http://www.metmuseum.org/art/collection/search/39139,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39139/main-image
39141,figure,,Tibet,"Gilt copper alloy with inlaid silver filaments, turquoise, and semiprecious stones",http://www.metmuseum.org/art/collection/search/39141,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39141/main-image
39142,figure,,India,Bronze with silver and copper inlay,http://www.metmuseum.org/art/collection/search/39142,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39142/main-image
39149,figure,,Thailand,Bronze,http://www.metmuseum.org/art/collection/search/39149,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39149/main-image
39150,figure,,"Thailand (Buriram Province, Prakhon Chai)",Bronze,http://www.metmuseum.org/art/collection/search/39150,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39150/main-image
39151,figure,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39151,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39151/main-image
39152,figure,,"Indonesia (Java, Ngandjuk)",Bronze,http://www.metmuseum.org/art/collection/search/39152,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39152/main-image
39158,figure,,"Thailand, Haripunjaya style",Bronze,http://www.metmuseum.org/art/collection/search/39158,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39158/main-image
39164,figure,,Pakistan (ancient region of Gandhara),Brass,http://www.metmuseum.org/art/collection/search/39164,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39164/main-image
39165,figure,,Pakistan (ancient region of Gandhara),Brass,http://www.metmuseum.org/art/collection/search/39165,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39165/main-image
39167,figure,,Indonesia (Sumatra),Bronze,http://www.metmuseum.org/art/collection/search/39167,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39167/main-image
39171,figure,,Sri Lanka,Gilt bronze,http://www.metmuseum.org/art/collection/search/39171,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39171/main-image
39174,figurine,,Sri Lanka,Bronze,http://www.metmuseum.org/art/collection/search/39174,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39174/main-image
39175,figure,,Thailand,Gilt bronze,http://www.metmuseum.org/art/collection/search/39175,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39175/main-image
39177,figure,,Western Tibet,Gilt bronze,http://www.metmuseum.org/art/collection/search/39177,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39177/main-image
39180,figure,,Thailand,Bronze,http://www.metmuseum.org/art/collection/search/39180,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39180/main-image
39181,figure,,Mongolia,Gilt bronze,http://www.metmuseum.org/art/collection/search/39181,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39181/main-image
39184,figure,,Thailand or Cambodia,"Copper alloy, silver inlay",http://www.metmuseum.org/art/collection/search/39184,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39184/restricted
39186,figure,,Indonesia (Kalimantan),Bronze,http://www.metmuseum.org/art/collection/search/39186,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39186/main-image
39188,figure,,Burma,Bronze with silver inlay,http://www.metmuseum.org/art/collection/search/39188,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39188/main-image
39191,figure,,"Thailand (Buriram Province, Prakhon Chai)",Bronze,http://www.metmuseum.org/art/collection/search/39191,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39191/main-image
39196,figure,,"Thailand (Buriram Province, Prakhon Chai)","Bronze with high tin content, or silver alloy",http://www.metmuseum.org/art/collection/search/39196,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39196/main-image
39197,figure,,"Sri Lanka, central plateau","Copper alloy with gilding
",http://www.metmuseum.org/art/collection/search/39197,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39197/main-image
39199,figure,,Central or northeastern Thailand,Silver alloy,http://www.metmuseum.org/art/collection/search/39199,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39199/main-image
39214,figure,,India,Bronze with silver inlay,http://www.metmuseum.org/art/collection/search/39214,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39214/main-image
39215,figure,,Vietnam or Cambodia,Stone,http://www.metmuseum.org/art/collection/search/39215,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39215/main-image
39217,figurine,,Pakistan,Bronze,http://www.metmuseum.org/art/collection/search/39217,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39217/main-image
39222,figure,,Sri Lanka,Bronze with high tin content,http://www.metmuseum.org/art/collection/search/39222,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39222/main-image
39233,figurine,,Thailand,Bronze,http://www.metmuseum.org/art/collection/search/39233,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39233/main-image
39235,figure,,Indonesia (Sumatra),Bronze,http://www.metmuseum.org/art/collection/search/39235,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39235/main-image
39236,figure,,Indonesia (Sumatra),Bronze,http://www.metmuseum.org/art/collection/search/39236,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39236/main-image
39237,figure,,Indonesia (Sumatra),Bronze,http://www.metmuseum.org/art/collection/search/39237,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39237/main-image
39238,figure,,Indonesia (Sumatra),Bronze,http://www.metmuseum.org/art/collection/search/39238,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39238/main-image
39239,figure,,Indonesia (Sumatra),Bronze,http://www.metmuseum.org/art/collection/search/39239,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39239/main-image
39266,figure,,Nepal (Kathmandu Valley),Gilt bronze,http://www.metmuseum.org/art/collection/search/39266,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39266/main-image
39306,figure,,Thailand,Bronze,http://www.metmuseum.org/art/collection/search/39306,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39306/main-image
39311,figure,,Thailand (Khorat Plateau),Bronze,http://www.metmuseum.org/art/collection/search/39311,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39311/main-image
39339,figurine,,India (Kashmir region),Brass inlaid with copper and silver,http://www.metmuseum.org/art/collection/search/39339,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39339/main-image
39345,figure,,"India, Ancient kingdom of Kashmir",Brass,http://www.metmuseum.org/art/collection/search/39345,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39345/main-image
39351,figure,,Nepal (Kathmandu Valley),Copper alloy,http://www.metmuseum.org/art/collection/search/39351,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39351/main-image
